station season predictor correlation corr_lag corr_abs MI MI_lag
INDEP Verano CO 0.376372319373822 8 0.376372319373822 0.24188706674456925 310
INDEP Verano PM10 0.3757590349553816 10 0.3757590349553816 0.10685697196210513 10
INDEP Verano PM25 0.2873030375438417 7 0.2873030375438417 0.10940721373243693 8
INDEP Verano NO2 0.49070865428884836 9 0.49070865428884836 0.15798626534671767 8
INDEP Verano NO -0.33321442417056474 1 0.33321442417056474 0.10288040510858387 1
INDEP Verano NOX 0.37940597115332825 9 0.37940597115332825 0.1190861859872658 12
INDEP Verano SO2 0.2506049002546407 1 0.2506049002546407 0.24812824454198962 0
INDEP Verano WD 0.2751296925127978 0 0.2751296925127978 0.11984718553543687 669
INDEP Verano RH -0.49944002782175106 0 0.49944002782175106 0.1922466468895992 2
INDEP Verano TEMP 0.6157829319732518 0 0.6157829319732518 0.2873875673319439 0
INDEP Verano WS -0.21074411633901174 14 0.21074411633901174 0.0731910622791534 596
INDEP Verano HCNM nan 0 -inf nan 0
INDEP Verano UVA 0.19693633191043725 669 0.19693633191043725 0.07487521556686363 103
INDEP Verano UVB 0.283056181886151 1 0.283056181886151 0.09873566317521845 0
INDEP Verano O3 1.0 0 1.0 5.526785850025847 0
INDEP Verano WD-sin -0.30290343721520036 0 0.30290343721520036 0.1213782999133723 669
INDEP Verano WD-cos 0.2634830539833541 12 0.2634830539833541 0.10695494583717022 45
