station season predictor correlation corr_lag corr_abs MI MI_lag
POH Verano CH4 0.26280781685130217 261 0.26280781685130217 0.215854312365182 329
POH Verano CO 0.45006964490324464 6 0.45006964490324464 0.17673223934045884 4
POH Verano PM10 0.4421535816171845 7 0.4421535816171845 0.17672785156660503 12
POH Verano PM25 0.45733989966958577 6 0.45733989966958577 0.1777644308982055 6
POH Verano NO2 0.494858842177309 5 0.494858842177309 0.18440286174386036 11
POH Verano NO 0.45521789219815695 7 0.45521789219815695 0.13500707682992083 7
POH Verano NOX 0.4743943579368962 7 0.4743943579368962 0.13986593641529915 11
POH Verano SO2 0.31994013883386163 1 0.31994013883386163 0.17216069587684105 1
POH Verano WD -0.3003640335829555 7 0.3003640335829555 0.08941458710902053 161
POH Verano RH -0.6510176518428218 0 0.6510176518428218 0.25888669541512777 0
POH Verano TEMP 0.6972295879847487 0 0.6972295879847487 0.41516277647149247 0
POH Verano WS -0.4377457244436605 6 0.4377457244436605 0.13874106791687918 14
POH Verano HCNM -0.5154905833581651 404 0.5154905833581651 0.26950894161806477 420
POH Verano UVA 0.13639734210654547 622 0.13639734210654547 0.07217341861705502 299
POH Verano UVB 0.21625544003188013 0 0.21625544003188013 0.14060756859487408 2
POH Verano O3 1.0 0 1.0 5.362557831789138 0
POH Verano WD-sin 0.33948181088602886 7 0.33948181088602886 0.0842916002148086 254
POH Verano WD-cos 0.27477059585081737 12 0.27477059585081737 0.08713814308020403 183
