station season predictor correlation corr_lag corr_abs MI MI_lag
CERRI Verano CH4 0.44425897080371196 1 0.44425897080371196 0.27265446227370643 641
CERRI Verano CO 0.4827849470647346 7 0.4827849470647346 0.3287127934768381 7
CERRI Verano PM10 0.5265959286673065 8 0.5265959286673065 0.18325136004322803 8
CERRI Verano PM25 0.5307749404951219 6 0.5307749404951219 0.18214659287828033 6
CERRI Verano NO2 0.5960625238604791 9 0.5960625238604791 0.29215055244260396 9
CERRI Verano NO 0.47662953803889974 7 0.47662953803889974 0.146061349240911 9
CERRI Verano NOX 0.49974412795422063 8 0.49974412795422063 0.2008478754836005 9
CERRI Verano SO2 0.3748434199022984 0 0.3748434199022984 0.1228041904808265 0
CERRI Verano WD -0.3008039236443329 7 0.3008039236443329 0.12945764444257968 10
CERRI Verano RH -0.6333787710449722 0 0.6333787710449722 0.28534539705972717 0
CERRI Verano TEMP 0.6911121122721006 0 0.6911121122721006 0.3522425073519543 0
CERRI Verano WS -0.4397728028363932 5 0.4397728028363932 0.1515201485198026 4
CERRI Verano HCNM -0.4725436924514528 599 0.4725436924514528 0.3096704951287714 400
CERRI Verano UVA 0.13131204781112873 622 0.13131204781112873 0.12938699921576263 454
CERRI Verano UVB -0.14503695489201485 314 0.14503695489201485 0.11579419852788372 0
CERRI Verano O3 1.0 0 1.0 5.0228430048625485 0
CERRI Verano WD-sin 0.38068251181942125 7 0.38068251181942125 0.11063361961346904 6
CERRI Verano WD-cos 0.2841946707851005 3 0.2841946707851005 0.07893068811462034 10
