station season predictor correlation corr_lag corr_abs MI MI_lag
CERRI Verano CH4 0.44425897080371196 1 0.44425897080371196 0.27265446227370643 641
CERRI Verano CO 0.5064089399667598 7 0.5064089399667598 0.30928002268251886 7
CERRI Verano PM10 0.5283427675059243 8 0.5283427675059243 0.18594924910348282 9
CERRI Verano PM25 0.5113836546063216 5 0.5113836546063216 0.2005384951521711 6
CERRI Verano NO2 0.598324462725578 9 0.598324462725578 0.29316637299973397 9
CERRI Verano NO 0.475973099049845 7 0.475973099049845 0.14364705038999886 7
CERRI Verano NOX 0.503708896040563 8 0.503708896040563 0.20373854635905442 9
CERRI Verano SO2 0.3748434199022984 0 0.3748434199022984 0.1228041904808265 0
CERRI Verano WD -0.3171896631690094 7 0.3171896631690094 0.1369767672268977 7
CERRI Verano RH -0.6206098228641114 0 0.6206098228641114 0.2569813598650626 0
CERRI Verano TEMP 0.7026743497238356 0 0.7026743497238356 0.3570272170082732 0
CERRI Verano WS -0.4376343539801604 5 0.4376343539801604 0.16922489347687614 2
CERRI Verano HCNM -0.4725436924514528 599 0.4725436924514528 0.3096704951287714 400
CERRI Verano UVA 0.12572363406360398 622 0.12572363406360398 0.09996544492400554 118
CERRI Verano UVB -0.1603734793380202 50 0.1603734793380202 0.11786034364883884 0
CERRI Verano O3 1.0 0 1.0 4.607966930044997 0
CERRI Verano WD-sin 0.40803311103796286 7 0.40803311103796286 0.11196479174465472 8
CERRI Verano WD-cos 0.27527191954512586 4 0.27527191954512586 0.0962871134383251 5
