station season predictor correlation corr_lag corr_abs MI MI_lag
POH Verano CH4 0.26280781685130217 261 0.26280781685130217 0.215854312365182 329
POH Verano CO 0.4426922840578279 6 0.4426922840578279 0.20011836593848834 6
POH Verano PM10 0.38040486958003444 9 0.38040486958003444 0.13353440562864877 11
POH Verano PM25 0.47371889011725654 6 0.47371889011725654 0.16059149265999287 6
POH Verano NO2 0.49263166947141446 5 0.49263166947141446 0.18165670589511648 11
POH Verano NO 0.4309737602407867 7 0.4309737602407867 0.12046683147186958 7
POH Verano NOX 0.45142250082586427 7 0.45142250082586427 0.13021677445563934 11
POH Verano SO2 0.35439681429239667 0 0.35439681429239667 0.25057069374498364 1
POH Verano WD -0.2958436339083192 7 0.2958436339083192 0.10541254968402355 6
POH Verano RH -0.580313453202126 0 0.580313453202126 0.21641387993465405 1
POH Verano TEMP 0.6719141846622307 0 0.6719141846622307 0.36894561203973647 0
POH Verano WS -0.38963425070693286 6 0.38963425070693286 0.1100872553540058 7
POH Verano HCNM -0.5154905833581651 404 0.5154905833581651 0.26950894161806477 420
POH Verano UVA 0.12987227562703996 456 0.12987227562703996 0.0977865311923738 70
POH Verano UVB 0.1864471627006103 2 0.1864471627006103 0.11987135918774454 1
POH Verano O3 1.0 0 1.0 5.018586703698322 0
POH Verano WD-sin 0.34980976963132576 7 0.34980976963132576 0.09131310775739662 6
POH Verano WD-cos 0.26612180336388663 12 0.26612180336388663 0.05034855225033894 191
