station season predictor correlation corr_lag corr_abs MI MI_lag
CONDES Verano CH4 nan nan -inf nan nan
CONDES Verano CO 0.1858524644459042 15 0.1858524644459042 0.2196374070082565 22
CONDES Verano PM10 0.3191727430292684 17 0.3191727430292684 0.08441204016468822 3
CONDES Verano PM25 0.331768371966786 1 0.331768371966786 0.10733938334452153 1
CONDES Verano NO2 0.24089134228828238 14 0.24089134228828238 0.08840870473479741 11
CONDES Verano NO -0.27511628164607954 4 0.27511628164607954 0.16003035924434253 0
CONDES Verano NOX 0.21553125095283404 515 0.21553125095283404 0.07363070689998522 659
CONDES Verano SO2 0.19089694960418196 0 0.19089694960418196 0.0772593097843064 1
CONDES Verano WD -0.30649902996706785 15 0.30649902996706785 0.09054905433335478 8
CONDES Verano RH -0.5005203512116021 0 0.5005203512116021 0.17962409202463486 0
CONDES Verano TEMP 0.7439293902808042 0 0.7439293902808042 0.4846215816544218 0
CONDES Verano WS 0.30244508706865236 8 0.30244508706865236 0.07195897004089416 8
CONDES Verano HCNM -0.4447343588209311 318 0.4447343588209311 0.22691491756160617 635
CONDES Verano UVA -0.19221026109818545 175 0.19221026109818545 0.1079868550312519 200
CONDES Verano UVB 0.36744759952053335 1 0.36744759952053335 0.1858676347399268 0
CONDES Verano O3 1.0 0 1.0 4.960721731146916 0
CONDES Verano WD-sin 0.3468167219049336 8 0.3468167219049336 0.0886184724976907 11
CONDES Verano WD-cos 0.24950344212850115 15 0.24950344212850115 0.09144381222045177 8
CERRI Verano CH4 0.44425897080371196 1 0.44425897080371196 0.27265446227370643 641
CERRI Verano CO 0.5064089399667598 7 0.5064089399667598 0.30928002268251886 7
CERRI Verano PM10 0.5283427675059243 8 0.5283427675059243 0.18594924910348282 9
CERRI Verano PM25 0.5113836546063216 5 0.5113836546063216 0.2005384951521711 6
CERRI Verano NO2 0.598324462725578 9 0.598324462725578 0.29316637299973397 9
CERRI Verano NO 0.475973099049845 7 0.475973099049845 0.14364705038999886 7
CERRI Verano NOX 0.503708896040563 8 0.503708896040563 0.20373854635905442 9
CERRI Verano SO2 0.3748434199022984 0 0.3748434199022984 0.1228041904808265 0
CERRI Verano WD -0.3171896631690094 7 0.3171896631690094 0.1369767672268977 7
CERRI Verano RH -0.6206098228641114 0 0.6206098228641114 0.2569813598650626 0
CERRI Verano TEMP 0.7026743497238356 0 0.7026743497238356 0.3570272170082732 0
CERRI Verano WS -0.4376343539801604 5 0.4376343539801604 0.16922489347687614 2
CERRI Verano HCNM -0.4725436924514528 599 0.4725436924514528 0.3096704951287714 400
CERRI Verano UVA 0.12572363406360398 622 0.12572363406360398 0.09996544492400554 118
CERRI Verano UVB -0.1603734793380202 50 0.1603734793380202 0.11786034364883884 0
CERRI Verano O3 1.0 0 1.0 4.607966930044997 0
CERRI Verano WD-sin 0.40803311103796286 7 0.40803311103796286 0.11196479174465472 8
CERRI Verano WD-cos 0.27527191954512586 4 0.27527191954512586 0.0962871134383251 5
INDEP Verano CO 0.376372319373822 8 0.376372319373822 0.24188706674456925 310
INDEP Verano PM10 0.3757590349553816 10 0.3757590349553816 0.10685697196210513 10
INDEP Verano PM25 0.2873030375438417 7 0.2873030375438417 0.10940721373243693 8
INDEP Verano NO2 0.49070865428884836 9 0.49070865428884836 0.15798626534671767 8
INDEP Verano NO -0.33321442417056474 1 0.33321442417056474 0.10288040510858387 1
INDEP Verano NOX 0.37940597115332825 9 0.37940597115332825 0.1190861859872658 12
INDEP Verano SO2 0.2506049002546407 1 0.2506049002546407 0.24812824454198962 0
INDEP Verano WD 0.2751296925127978 0 0.2751296925127978 0.11984718553543687 669
INDEP Verano RH -0.49944002782175106 0 0.49944002782175106 0.1922466468895992 2
